mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
1	1	1	1	4/2	1	1		v(64)				v(64)	v			64					m	1, 0, -3		1	1
1	1	3/2	3/2	4/2	1	1		v				v	v								m	1, -2, 2		1	1
2	2	0	0	4/2	1	1		#vi2				#vi2	#vi		2						mm7	1, 3, 0, 4		3	1
2	2	1/2	1/2	4/2	1	1		#ii6				#ii6	#ii		6						m	6, 10, 9		9	6
2	2	1	1	4/2	1	1		v7				v7	v		7						mm7	1, -2, 2, -1		1	1
2	2	3/2	3/2	4/2	1	1		IV6/vii				IV6/vii	IV		6		vii				M	1, -2, -3		-3	1
3	3	0	0	4/2	1	1		V7/vii				V7/vii	V		7		vii				Mm7	-1, 3, 0, -3		-1	-1
3	3	1/2	1/2	4/2	1	1		V(64)/vii				V(64)/vii	V			64	vii				M	-1, -2, -5		-1	-1
3	3	1	1	4/2	1	1		ii%65/vii				ii%65/vii	ii	%	65		vii				%7	-3, -6, -2, 0		0	-3
3	3	3/2	3/2	4/2	1	1		#ii/III				#ii/III	#ii				III				m	6, 3, 7		6	6
4	4	0	0	4/2	1	1		V7/III				V7/III	V		7		III				Mm7	-2, 2, -1, -4		-2	-2
4	4	1/2	1/2	4/2	1	1		III				III	III								M	-3, 1, -2		-3	-3
4	4	1	1	4/2	1	1		iv[V7/VII			iv	V7/VII	V		7		VII				Mm7	-1, 3, 0, -3		-1	-1
4	4	3/2	3/2	4/2	1	1		VII64				VII64	VII		64						M	-1, -2, 2		-2	-1
5	5	0	0	4/2	1	1		IV6/VI				IV6/VI	IV		6		VI				M	-1, -4, -5		-5	-1
5	5	1/2	1/2	4/2	1	1		iii6/VI				iii6/VI	iii		6		VI				m	-3, 1, 0		0	-3
5	5	1	1	4/2	1	1		IVM65/VI]				IVM65/VI	IV	M	65		VI	]			MM7	-1, -4, 0, -5		-5	-1
5	5	3/2	3/2	4/2	1	1		viio/VI				viio/VI	vii	o			VI				o	1, -2, -5		1	1
6	6	0	0	4/2	1	1		VI				VI	VI								M	-4, 0, -3		-4	-4
6	6	1/2	1/2	4/2	1	1		iv6				iv6	iv		6						m	-4, 0, -1		-1	-4
6	6	1	1	4/2	1	1		V(4)/iv				V(4)/iv	V			4	iv				M	0, -1, 1		0	0
6	6	3/2	3/2	4/2	1	1		V/iv				V/iv	V				iv				M	0, 4, 1		0	0
7	7	0	0	4/2	1	1		IV}{				IV	IV							}{	M	-1, 3, 0		-1	-1
7	7	3/2	3/2	4/2	1	1		iv				iv	iv								m	-1, -4, 0		-1	-1
8	8	0	0	4/2	1	1		III				III	III								M	-3, 1, -2		-3	-3
8	8	1/2	1/2	4/2	1	1		iii				iii	iii								m	-3, -6, -2		-3	-3
8	8	1	1	4/2	1	1		II				II	II								M	2, 6, 3		2	2
8	8	3/2	3/2	4/2	1	1		II6				II6	II		6						M	6, 3, 2		2	6
9	9	0	0	4/2	1	1		IV6				IV6	IV		6						M	3, 0, -1		-1	3
9	9	1/2	1/2	4/2	1	1		iv6				iv6	iv		6						m	-4, 0, -1		-1	-4
9	9	1	1	4/2	1	1		III6				III6	III		6						M	1, -2, -3		-3	1
9	9	3/2	3/2	4/2	1	1		iii6				iii6	iii		6						m	-6, -2, -3		-3	-6
10	10	0	0	4/2	1	1		iv(b2)				iv(b2)	iv			b2					m	-6, -4, 0		-1	-6
10	10	1/2	1/2	4/2	1	1		iv				iv	iv								m	-1, -4, 0		-1	-1
10	10	1	1	4/2	1	1		#viio(2)/iv				#viio(2)/iv	#vii	o		2	iv				o	-1, 1, -2		4	-1
10	10	3/2	3/2	4/2	1	1		V/iv				V/iv	V				iv				M	0, 4, 1		0	0
11	11	0	0	4/2	1	1		IV6(9)				IV6(9)	IV		6	9					M	3, 0, -1	1	-1	3
11	11	1/2	1/2	4/2	1	1		iv6				iv6	iv		6						m	-4, 0, -1		-1	-4
11	11	1	1	4/2	1	1		III6				III6	III		6						M	1, -2, -3		-3	1
11	11	3/2	3/2	4/2	1	1		iii6				iii6	iii		6						m	-6, -2, -3		-3	-6
12	12	0	0	4/2	1	1		ii/III				ii/III	ii				III				m	-1, -4, 0		-1	-1
12	12	1/2	1/2	4/2	1	1		viio6/III				viio6/III	vii	o	6		III				o	-1, -4, 2		2	-1
12	12	1	1	4/2	1	1		III				III	III								M	-3, 1, -2		-3	-3
12	12	3/2	3/2	4/2	1	1		iii				iii	iii								m	-3, -6, -2		-3	-3
13	13	0	0	4/2	1	1		V/iii				V/iii	V				iii				M	-2, 2, -1		-2	-2
13	13	1/2	1/2	4/2	1	1		viio6/VI				viio6/VI	vii	o	6		VI				o	-2, -5, 1		1	-2
13	13	1	1	4/2	1	1		VI				VI	VI								M	-4, 0, -3		-4	-4
13	13	3/2	3/2	4/2	1	1		iio6/iii				iio6/iii	ii	o	6		iii				o	-4, -7, -1		-1	-4
14	14	0	0	4/2	1	1		V2/III				V2/III	V		2		III				Mm7	-4, -2, 2, -1		-2	-4
14	14	1/2	1/2	4/2	1	1		iii6				iii6	iii		6						m	-6, -2, -3		-3	-6
14	14	1	1	4/2	1	1		#viio6(2)/iii				#viio6(2)/iii	#vii	o	6	2	iii				o	-1, -4, -3		2	-1
14	14	3/2	3/2	4/2	1	1		#viio6/iii				#viio6/iii	#vii	o	6		iii				o	-1, -4, 2		2	-1
15	15	0	0	4/2	1	1		iii}{				iii	iii							}{	m	-3, -6, -2		-3	-3
15	15	1	1	4/2	1	1		vii				vii	vii								m	-2, -5, -1		-2	-2
16	16	0	0	4/2	1	1		IV6				IV6	IV		6						M	3, 0, -1		-1	3
16	16	1/2	1/2	4/2	1	1		iv6				iv6	iv		6						m	-4, 0, -1		-1	-4
16	16	1	1	4/2	1	1		III6(2)				III6(2)	III		6	2					M	1, -2, -1		-3	1
16	16	3/2	3/2	4/2	1	1		iii6				iii6	iii		6						m	-6, -2, -3		-3	-6
17	17	0	0	4/2	1	1		#viio6/iii				#viio6/iii	#vii	o	6		iii				o	-1, -4, 2		2	-1
17	17	1/2	1/2	4/2	1	1		vii				vii	vii								m	-2, -5, -1		-2	-2
17	17	1	1	4/2	1	1		VI6				VI6	VI		6						M	0, -3, -4		-4	0
17	17	3/2	3/2	4/2	1	1		vi6				vi6	vi		6						m	-7, -3, -4		-4	-7
18	18	0	0	4/2	1	1		#viio6/vi				#viio6/vi	#vii	o	6		vi				o	-2, -5, 1		1	-2
18	18	1/2	1/2	4/2	1	1		iio/vii				iio/vii	ii	o			vii				o	0, -3, -6		0	0
18	18	1	1	4/2	1	1		vii				vii	vii								m	-2, -5, -1		-2	-2
19	19	0	0	4/2	1	1		VII6				VII6	VII		6						M	2, -1, -2		-2	2
19	19	1/2	1/2	4/2	1	1		vii6				vii6	vii		6						m	-5, -1, -2		-2	-5
19	19	1	1	4/2	1	1		VI6(762)				VI6(762)	VI		6	762					M	0, -1, -2, 1		-4	0
19	19	3/2	3/2	4/2	1	1		vi6				vi6	vi		6						m	-7, -3, -4		-4	-7
20	20	0	0	4/2	1	1		viio6(2)/VI				viio6(2)/VI	vii	o	6	2	VI				o	-2, -5, -4		1	-2
20	20	1/2	1/2	4/2	1	1		viio6/VI				viio6/VI	vii	o	6		VI				o	-2, -5, 1		1	-2
20	20	1	1	4/2	1	1		VI(4)}{				VI(4)	VI			4				}{	M	-4, 2, -3		-4	-4
20	20	3/2	3/2	4/2	1	1		VI				VI	VI								M	-4, 0, -3		-4	-4
21	21	0	0	4/2	1	1		vii6(2)				vii6(2)	vii		6	2					m	-5, -1, 0		-2	-5
21	21	1/2	1/2	4/2	1	1		VII6				VII6	VII		6						M	2, -1, -2		-2	2
21	21	1	1	4/2	1	1		IV6				IV6	IV		6						M	3, 0, -1		-1	3
21	21	3/2	3/2	4/2	1	1		iv6				iv6	iv		6						m	-4, 0, -1		-1	-4
22	22	0	0	4/2	1	1		III6				III6	III		6						M	1, -2, -3		-3	1
22	22	1/2	1/2	4/2	1	1		iii6				iii6	iii		6						m	-6, -2, -3		-3	-6
22	22	1	1	4/2	1	1		V7/vii				V7/vii	V		7		vii				Mm7	-1, 3, 0, -3		-1	-1
22	22	3/2	3/2	4/2	1	1		vii64				vii64	vii		64						m	-1, -2, -5		-2	-1
23	23	0	0	4/2	1	1		IV				IV	IV								M	-1, 3, 0		-1	-1
23	23	1/2	1/2	4/2	1	1		iv				iv	iv								m	-1, -4, 0		-1	-1
23	23	1	1	4/2	1	1		III6				III6	III		6						M	1, -2, -3		-3	1
23	23	3/2	3/2	4/2	1	1		iii6				iii6	iii		6						m	-6, -2, -3		-3	-6
24	24	0	0	4/2	1	1		II6				II6	II		6						M	6, 3, 2		2	6
24	24	1/2	1/2	4/2	1	1		iv				iv	iv								m	-1, -4, 0		-1	-1
24	24	1	1	4/2	1	1		III				III	III								M	-3, 1, -2		-3	-3
24	24	3/2	3/2	4/2	1	1		i6				i6	i		6						m	-3, 1, 0		0	-3
25	25	0	0	4/2	1	1		V2/vii				V2/vii	V		2		vii				Mm7	-3, -1, 3, 0		-1	-3
25	25	1/2	1/2	4/2	1	1		vii6				vii6	vii		6						m	-5, -1, -2		-2	-5
25	25	1	1	4/2	1	1		IV64				IV64	IV		64						M	0, -1, 3		-1	0
25	25	3/2	3/2	4/2	1	1		VI6				VI6	VI		6						M	0, -3, -4		-4	0
26	26	0	0	4/2	1	1		III				III	III								M	-3, 1, -2		-3	-3
26	26	1/2	1/2	4/2	1	1		iii				iii	iii								m	-3, -6, -2		-3	-3
26	26	1	1	4/2	1	1		V65/vii				V65/vii	V		65		vii				Mm7	3, 0, -3, -1		-1	3
26	26	3/2	3/2	4/2	1	1		vii				vii	vii								m	-2, -5, -1		-2	-2
27	27	0	0	4/2	1	1		V65/VI				V65/VI	V		65		VI				Mm7	1, -2, -5, -3		-3	1
27	27	1/2	1/2	4/2	1	1		VI				VI	VI								M	-4, 0, -3		-4	-4
27	27	1	1	4/2	1	1		vii65(2)				vii65(2)	vii		65	2					mm7	-5, -1, -4, 0		-2	-5
27	27	3/2	3/2	4/2	1	1		vii6				vii6	vii		6						m	-5, -1, -2		-2	-5
28	28	0	0	4/2	1	1		iv64				iv64	iv		64						m	0, -1, -4		-1	0
28	28	1/2	1/2	4/2	1	1		viio6/VII				viio6/VII	vii	o	6		VII				o	0, -3, 3		3	0
28	28	1	1	4/2	1	1		VII(#72)				VII(#72)	VII			#72					M	0, 2, -1	3	-2	0
28	28	3/2	3/2	4/2	1	1		v6				v6	v		6						m	-2, 2, 1		1	-2
29	29	0	0	4/2	1	1		i2				i2	i		2						mm7	-2, 0, -3, 1		0	-2
29	29	1/2	1/2	4/2	1	1		iv6				iv6	iv		6						m	-4, 0, -1		-1	-4
29	29	1	1	4/2	1	1		V2/V/VI				V2/V/VI	V		2		V/VI				Mm7	-4, -2, 2, -1		-2	-4
29	29	3/2	3/2	4/2	1	1		V6/VI				V6/VI	V		6		VI				M	1, -2, -3		-3	1
30	30	0	0	4/2	1	1		VI(9)				VI(9)	VI			9					M	-4, 0, -3	-2	-4	-4
30	30	1/2	1/2	4/2	1	1		vi				vi	vi								m	-4, -7, -3		-4	-4
30	30	1	1	4/2	1	1		V7/bV				V7/bV	V		7		bV				Mm7	-5, -1, -4, -7		-5	-5
30	30	3/2	3/2	4/2	1	1		V/bV				V/bV	V				bV				M	-5, -1, -4		-5	-5
31	31	0	0	4/2	1	1		V2/VI				V2/VI	V		2		VI				Mm7	-5, -3, 1, -2		-3	-5
31	31	1/2	1/2	4/2	1	1		viio6/VII				viio6/VII	vii	o	6		VII				o	0, -3, 3		3	0
31	31	1	1	4/2	1	1		VII(64)				VII(64)	VII			64					M	-2, -3, 1		-2	-2
31	31	3/2	3/2	4/2	1	1		VII				VII	VII								M	-2, 2, -1		-2	-2
32	32	0	0	4/2	1	1		#viio6/iv				#viio6/iv	#vii	o	6		iv				o	1, -2, 4		4	1
32	32	1/4	1/4	4/2	1	1		#viio6(2)/iv				#viio6(2)/iv	#vii	o	6	2	iv				o	1, -2, -1		4	1
32	32	3/4	3/4	4/2	1	1		#viio6/iv				#viio6/iv	#vii	o	6		iv				o	1, -2, 4		4	1
32	32	1	1	4/2	1	1		IV(#64)}{				IV(#64)	IV			#64				}{	M	-1, -2, 0	9	-1	-1
32	32	3/2	3/2	4/2	1	1		IV				IV	IV								M	-1, 3, 0		-1	-1
33	33	0	0	4/2	1	1		#ii6				#ii6	#ii		6						m	6, 10, 9		9	6
33	33	1/2	1/2	4/2	1	1		II6				II6	II		6						M	6, 3, 2		2	6
33	33	1	1	4/2	1	1		IV6				IV6	IV		6						M	3, 0, -1		-1	3
33	33	3/2	3/2	4/2	1	1		iv6				iv6	iv		6						m	-4, 0, -1		-1	-4
34	34	0	0	4/2	1	1		V6/iv				V6/iv	V		6		iv				M	4, 1, 0		0	4
34	34	1/2	1/2	4/2	1	1		V65/iv				V65/iv	V		65		iv				Mm7	4, 1, -2, 0		0	4
34	34	1	1	4/2	1	1		IV				IV	IV								M	-1, 3, 0		-1	-1
34	34	3/2	3/2	4/2	1	1		iv				iv	iv								m	-1, -4, 0		-1	-1
35	35	0	0	4/2	1	1		I(64)				I(64)	I			64					M	0, -1, -4		0	0
35	35	1/2	1/2	4/2	1	1		I				I	I								M	0, 4, 1		0	0
35	35	1	1	4/2	1	1		VII6(13)				VII6(13)	VII		6	13					M	2, -1, -2	1	-2	2
35	35	3/2	3/2	4/2	1	1		vii6				vii6	vii		6						m	-5, -1, -2		-2	-5
36	36	0	0	4/2	1	1		V6/VII				V6/VII	V		6		VII				M	3, 0, -1		-1	3
36	36	1/2	1/2	4/2	1	1		V65/VII				V65/VII	V		65		VII				Mm7	3, 0, -3, -1		-1	3
36	36	1	1	4/2	1	1		VII				VII	VII								M	-2, 2, -1		-2	-2
36	36	3/2	3/2	4/2	1	1		vii				vii	vii								m	-2, -5, -1		-2	-2
37	37	0	0	4/2	1	1		IV6				IV6	IV		6						M	3, 0, -1		-1	3
37	37	1/2	1/2	4/2	1	1		iv6				iv6	iv		6						m	-4, 0, -1		-1	-4
37	37	1	1	4/2	1	1		VII(9)				VII(9)	VII			9					M	-2, 2, -1	0	-2	-2
37	37	3/2	3/2	4/2	1	1		vii				vii	vii								m	-2, -5, -1		-2	-2
38	38	0	0	4/2	1	1		IV6				IV6	IV		6						M	3, 0, -1		-1	3
38	38	1/2	1/2	4/2	1	1		iv6				iv6	iv		6						m	-4, 0, -1		-1	-4
38	38	1	1	4/2	1	1		I				I	I								M	0, 4, 1		0	0
38	38	3/2	3/2	4/2	1	1		i				i	i								m	0, -3, 1		0	0
39	39	0	0	4/2	1	1		IV6				IV6	IV		6						M	3, 0, -1		-1	3
39	39	1/2	1/2	4/2	1	1		iv6				iv6	iv		6						m	-4, 0, -1		-1	-4
39	39	1	1	4/2	1	1		#viio6/iv				#viio6/iv	#vii	o	6		iv				o	1, -2, 4		4	1
39	39	3/2	3/2	4/2	1	1		III6				III6	III		6						M	1, -2, -3		-3	1
40	40	0	0	4/2	1	1		VII6				VII6	VII		6						M	2, -1, -2		-2	2
40	40	1/2	1/2	4/2	1	1		IV				IV	IV								M	-1, 3, 0		-1	-1
40	40	1	1	4/2	1	1		III				III	III								M	-3, 1, -2		-3	-3
40	40	3/2	3/2	4/2	1	1		I6				I6	I		6						M	4, 1, 0		0	4
41	41	0	0	4/2	1	1		IV				IV	IV								M	-1, 3, 0		-1	-1
41	41	1/2	1/2	4/2	1	1		iv				iv	iv								m	-1, -4, 0		-1	-1
41	41	1	1	4/2	1	1		V/iv				V/iv	V				iv				M	0, 4, 1		0	0
41	41	5/4	5/4	4/2	1	1		V7/iv				V7/iv	V		7		iv				Mm7	0, 4, 1, -2		0	0
42	42	1/2	1/2	4/2	1	1		V(64)/iv				V(64)/iv	V			64	iv				M	0, -1, -4		0	0
42	42	1	1	4/2	1	1		V(4)/iv				V(4)/iv	V			4	iv				M	0, -1, 1		0	0
42	42	3/2	3/2	4/2	1	1		V/iv				V/iv	V				iv				M	0, 4, 1		0	0
43	43	0	0	4/2	1	1		V(#6)/IV				V(#6)/IV	V			#6	IV				M	0, 4, 1	10	0	0
43	43	1/2	1/2	4/2	1	1		V(64)/iv				V(64)/iv	V			64	iv				M	0, -1, -4		0	0
43	43	1	1	4/2	1	1		V/iv				V/iv	V				iv				M	0, 4, 1		0	0
44	44	0	0	4/2	1	1		v(#13)/IV				v(#13)/IV	v			#13	IV				m	0, -3, 1	10	0	0
44	44	1/2	1/2	4/2	1	1		V(64)/iv				V(64)/iv	V			64	iv				M	0, -1, -4		0	0
44	44	1	1	4/2	1	1		V(4)/iv				V(4)/iv	V			4	iv				M	0, -1, 1		0	0
44	44	3/2	3/2	4/2	1	1		V/iv				V/iv	V				iv				M	0, 4, 1		0	0
45	45	0	0	4/2	1	1		IV(#6)}				IV(#6)	IV			#6				}	M	-1, 3, 0	9	-1	-1
45	45	1/2	1/2	4/2	1	1		IV(6){				IV(6)	IV			6				{	M	-1, 3, 2		-1	-1
45	45	1	1	4/2	1	1		IV				IV	IV								M	-1, 3, 0		-1	-1
45	45	3/2	3/2	4/2	1	1		V7/VII				V7/VII	V		7		VII				Mm7	-1, 3, 0, -3		-1	-1
46	46	0	0	4/2	1	1		VII64				VII64	VII		64						M	-1, -2, 2		-2	-1
46	46	1/2	1/2	4/2	1	1		vii64				vii64	vii		64						m	-1, -2, -5		-2	-1
46	46	1	1	4/2	1	1		IV(4)				IV(4)	IV			4					M	-1, -2, 0		-1	-1
46	46	3/2	3/2	4/2	1	1		IV				IV	IV								M	-1, 3, 0		-1	-1
47	47	0	0	4/2	1	1		iv				iv	iv								m	-1, -4, 0		-1	-1
47	47	1/2	1/2	4/2	1	1		i				i	i								m	0, -3, 1		0	0
47	47	3/2	3/2	4/2	1	1		vo6				vo6	v	o	6						o	-2, -5, 1		1	-2
48	48	0	0	4/2	1	1		IV6(2)				IV6(2)	IV		6	2					M	3, 0, 1		-1	3
48	48	1/2	1/2	4/2	1	1		iv6				iv6	iv		6						m	-4, 0, -1		-1	-4
48	48	1	1	4/2	1	1		V6/iv				V6/iv	V		6		iv				M	4, 1, 0		0	4
48	48	3/2	3/2	4/2	1	1		#viio6/iv				#viio6/iv	#vii	o	6		iv				o	1, -2, 4		4	1
49	49	0	0	4/2	1	1		IV				IV	IV								M	-1, 3, 0		-1	-1
49	49	1/2	1/2	4/2	1	1		iv				iv	iv								m	-1, -4, 0		-1	-1
49	49	1	1	4/2	1	1		VII(9)				VII(9)	VII			9					M	-2, 2, -1	0	-2	-2
49	49	3/2	3/2	4/2	1	1		v6				v6	v		6						m	-2, 2, 1		1	-2
50	50	0	0	4/2	1	1		I(#13)}{				I(#13)	I			#13				}{	M	0, 4, 1	3	0	0
50	50	1/2	1/2	4/2	1	1		I(64)				I(64)	I			64					M	0, -1, -4		0	0
50	50	1	1	4/2	1	1		I(4)				I(4)	I			4					M	0, -1, 1		0	0
50	50	3/2	3/2	4/2	1	1		I				I	I								M	0, 4, 1		0	0
51	51	0	0	4/2	1	1		I(#6)				I(#6)	I			#6					M	0, 4, 1	3	0	0
51	51	1/2	1/2	4/2	1	1		I(64)				I(64)	I			64					M	0, -1, -4		0	0
51	51	1	1	4/2	1	1		I				I	I								M	0, 4, 1		0	0
52	52	0	0	4/2	1	1		I(#13)				I(#13)	I			#13					M	0, 4, 1	3	0	0
52	52	1/2	1/2	4/2	1	1		I(64)				I(64)	I			64					M	0, -1, -4		0	0
52	52	1	1	4/2	1	1		I(4)				I(4)	I			4					M	0, -1, 1		0	0
52	52	3/2	3/2	4/2	1	1		I}				I	I							}	M	0, 4, 1		0	0
