mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
1	1	2	1.0	1/2	1/2	4/4	1	1	i					i	i								m	0, -3, 1		0	0
1	1	3	1.0	3/4	3/4	4/4	1	1	VI	iv6				VI	VI								M	-4, 0, -3		-4	-4
2	2	4	3.0	0	0	4/4	1	1	i					i	i								m	0, -3, 1		0	0
2	2	7	1.0	3/4	3/4	4/4	1	1	VI					VI	VI								M	-4, 0, -3		-4	-4
3	3	8	1.0	0	0	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
3	3	9	1.0	1/4	1/4	4/4	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
3	3	10	2.0	1/2	1/2	4/4	1	1	i					i	i								m	0, -3, 1		0	0
4	4	12	1.5	0	0	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
4	4	27/2	0.5	3/8	3/8	4/4	1	1	#iio6					#iio6	#ii	o	6						o	6, 3, 9		9	6
4	4	14	1.0	1/2	1/2	4/4	1	1	i					i	i								m	0, -3, 1		0	0
4	4	15	1.0	3/4	3/4	4/4	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
5	5	16	2.0	0	0	4/4	1	1	III6					III6	III		6						M	1, -2, -3		-3	1
5	5	18	0.5	1/2	1/2	4/4	1	1	VI6(2)					VI6(2)	VI		6	2					M	0, -3, -2		-4	0
5	5	37/2	1.0	5/8	5/8	4/4	1	1	VI6					VI6	VI		6						M	0, -3, -4		-4	0
5	5	39/2	0.5	7/8	7/8	4/4	1	1	VI					VI	VI								M	-4, 0, -3		-4	-4
6	6	20	1.0	0	0	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
6	6	21	1.0	1/4	1/4	4/4	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
6	6	22	2.0	1/2	1/2	4/4	1	1	VI6					VI6	VI		6						M	0, -3, -4		-4	0
7	7	24	1.0	0	0	4/4	1	1	VI					VI	VI								M	-4, 0, -3		-4	-4
7	7	25	1.0	1/4	1/4	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
7	7	26	1.0	1/2	1/2	4/4	1	1	ii%65/iv					ii%65/iv	ii	%	65		iv				%7	-2, -5, -1, 1		1	-2
7	7	27	1.0	3/4	3/4	4/4	1	1	V/iv					V/iv	V				iv				M	0, 4, 1		0	0
8	8	28	2.0	0	0	4/4	1	1	iv}{					iv	iv							}{	m	-1, -4, 0		-1	-1
8	8	30	1.0	1/2	1/2	4/4	1	1	iv(64)					iv(64)	iv			64					m	-1, -2, 2		-1	-1
8	8	31	1.0	3/4	3/4	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
9	9	32	1.0	0	0	4/4	1	1	V6/iv					V6/iv	V		6		iv				M	4, 1, 0		0	4
9	9	33	2.0	1/4	1/4	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
9	9	35	1.0	3/4	3/4	4/4	1	1	iv(64)					iv(64)	iv			64					m	-1, -2, 2		-1	-1
10	10	36	1.0	0	0	4/4	1	1	iv(4)					iv(4)	iv			4					m	-1, -2, 0		-1	-1
10	10	37	1.0	1/4	1/4	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
10	10	38	1.0	1/2	1/2	4/4	1	1	V/iv					V/iv	V				iv				M	0, 4, 1		0	0
10	10	39	1.0	3/4	3/4	4/4	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
11	11	40	1.0	0	0	4/4	1	1	i64(4)					i64(4)	i		64	4					m	1, 0, -1		0	1
11	11	41	1.0	1/4	1/4	4/4	1	1	i					i	i								m	0, -3, 1		0	0
11	11	42	1.0	1/2	1/2	4/4	1	1	V7/vii					V7/vii	V		7		vii				Mm7	-1, 3, 0, -3		-1	-1
11	11	43	1.0	3/4	3/4	4/4	1	1	vii					vii	vii								m	-2, -5, -1		-2	-2
12	12	44	1.0	0	0	4/4	1	1	vii6(2)					vii6(2)	vii		6	2					m	-5, -1, 0		-2	-5
12	12	45	1.0	1/4	1/4	4/4	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
12	12	46	1.0	1/2	1/2	4/4	1	1	i(4)					i(4)	i			4					m	0, -1, 1		0	0
12	12	47	1.0	3/4	3/4	4/4	1	1	VI6					VI6	VI		6						M	0, -3, -4		-4	0
13	13	48	1.5	0	0	4/4	1	1	I					I	I								M	0, 4, 1		0	0
13	13	99/2	1.5	3/8	3/8	4/4	1	1	I(64)					I(64)	I			64					M	0, -1, -4		0	0
13	13	51	1.0	3/4	3/4	4/4	1	1	I					I	I								M	0, 4, 1		0	0
14	14	52	2.0	0	0	4/4	1	1	vii6(2)					vii6(2)	vii		6	2					m	-5, -1, 0		-2	-5
14	14	54	2.0	1/2	1/2	4/4	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
15	15	56	1.0	0	0	4/4	1	1	V7/iv					V7/iv	V		7		iv				Mm7	0, 4, 1, -2		0	0
15	15	57	2.0	1/4	1/4	4/4	1	1	V(64)/iv					V(64)/iv	V			64	iv				M	0, -1, -4		0	0
15	15	59	1.0	3/4	3/4	4/4	1	1	vii					vii	vii								m	-2, -5, -1		-2	-2
16	16	60	1.0	0	0	8/4	1	1	I(4)					I(4)	I			4					M	0, -1, 1		0	0
16	16	61	1.0	1/4	1/4	8/4	1	1	I					I	I								M	0, 4, 1		0	0
16	16	62	0.5	1/2	1/2	8/4	1	1	vii6(2)					vii6(2)	vii		6	2					m	-5, -1, 0		-2	-5
16	16	125/2	1.5	5/8	5/8	8/4	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
16	16	64	1.0	1	1	8/4	1	1	I(64)}					I(64)	I			64				}	M	0, -1, -4		0	0
16	16	65	3.0	5/4	5/4	8/4	1	1	I					I	I								M	0, 4, 1		0	0
17	17	68	3.0	0	0	3/2	1	1	i{					i	i							{	m	0, -3, 1		0	0
17	17	71	6.0	3/4	3/4	3/2	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
18	18	77	2.0	3/4	3/4	3/2	1	1	i					i	i								m	0, -3, 1		0	0
18	18	79	1.0	5/4	5/4	3/2	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
19	19	80	3.0	0	0	3/2	1	1	i					i	i								m	0, -3, 1		0	0
19	19	83	2.0	3/4	3/4	3/2	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
19	19	85	1.0	5/4	5/4	3/2	1	1	iv6/iv					iv6/iv	iv		6		iv				m	-5, -1, -2		-2	-5
20	20	86	1.0	0	0	3/2	1	1	V(64)/iv					V(64)/iv	V			64	iv				M	0, -1, -4		0	0
20	20	87	4.0	1/4	1/4	3/2	1	1	V7/iv					V7/iv	V		7		iv				Mm7	0, 4, 1, -2		0	0
20	20	91	1.0	5/4	5/4	3/2	1	1	V/iv					V/iv	V				iv				M	0, 4, 1		0	0
21	21	92	2.0	0	0	3/2	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
21	21	94	1.0	1/2	1/2	3/2	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
21	21	95	2.0	3/4	3/4	3/2	1	1	i					i	i								m	0, -3, 1		0	0
21	21	97	1.0	5/4	5/4	3/2	1	1	VI6					VI6	VI		6						M	0, -3, -4		-4	0
22	22	98	2.0	0	0	3/2	1	1	II					II	II								M	2, 6, 3		2	2
22	22	100	1.0	1/2	1/2	3/2	1	1	vii					vii	vii								m	-2, -5, -1		-2	-2
22	22	101	1.0	3/4	3/4	3/2	1	1	i6					i6	i		6						m	-3, 1, 0		0	-3
22	22	102	2.0	1	1	3/2	1	1	III					III	III								M	-3, 1, -2		-3	-3
23	23	104	3.0	0	0	3/2	1	1	iv(4)					iv(4)	iv			4					m	-1, -2, 0		-1	-1
23	23	107	2.0	3/4	3/4	3/2	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
23	23	109	1.0	5/4	5/4	3/2	1	1	#iio6					#iio6	#ii	o	6						o	6, 3, 9		9	6
24	24	110	2.0	0	0	3/2	1	1	i					i	i								m	0, -3, 1		0	0
24	24	112	1.0	1/2	1/2	3/2	1	1	v6					v6	v		6						m	-2, 2, 1		1	-2
24	24	113	2.0	3/4	3/4	3/2	1	1	i					i	i								m	0, -3, 1		0	0
24	24	115	1.0	5/4	5/4	3/2	1	1	#vii%7/vii					#vii%7/vii	#vii	%	7		vii				%7	3, 0, -3, 1		3	3
25	25	116	2.0	0	0	3/2	1	1	vii					vii	vii								m	-2, -5, -1		-2	-2
25	25	118	1.0	1/2	1/2	3/2	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
25	25	119	2.0	3/4	3/4	3/2	1	1	V/iv					V/iv	V				iv				M	0, 4, 1		0	0
25	25	121	1.0	5/4	5/4	3/2	1	1	V(64)/iv					V(64)/iv	V			64	iv				M	0, -1, -4		0	0
26	26	122	2.0	0	0	3/2	1	1	V/iv					V/iv	V				iv				M	0, 4, 1		0	0
26	26	124	1.0	1/2	1/2	3/2	1	1	V(64)/iv					V(64)/iv	V			64	iv				M	0, -1, -4		0	0
26	26	125	2.0	3/4	3/4	3/2	1	1	V(4)/iv					V(4)/iv	V			4	iv				M	0, -1, 1		0	0
26	26	127	1.0	5/4	5/4	3/2	1	1	V/iv					V/iv	V				iv				M	0, 4, 1		0	0
27	27	128	2.0	0	0	3/2	1	1	iv}{					iv	iv							}{	m	-1, -4, 0		-1	-1
27	27	130	1.0	1/2	1/2	3/2	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
27	27	131	2.0	3/4	3/4	3/2	1	1	III6					III6	III		6						M	1, -2, -3		-3	1
27	27	133	1.0	5/4	5/4	3/2	1	1	VII6					VII6	VII		6						M	2, -1, -2		-2	2
28	28	134	3.0	0	0	3/2	1	1	i					i	i								m	0, -3, 1		0	0
28	28	137	3.0	3/4	3/4	3/2	1	1	VI					VI	VI								M	-4, 0, -3		-4	-4
29	29	140	3.0	0	0	3/2	1	1	vii					vii	vii								m	-2, -5, -1		-2	-2
29	29	143	2.0	3/4	3/4	3/2	1	1	V(4)/iv					V(4)/iv	V			4	iv				M	0, -1, 1		0	0
29	29	145	1.0	5/4	5/4	3/2	1	1	V/iv					V/iv	V				iv				M	0, 4, 1		0	0
30	30	146	3.0	0	0	3/2	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
30	30	149	2.0	3/4	3/4	3/2	1	1	II					II	II								M	2, 6, 3		2	2
30	30	151	1.0	5/4	5/4	3/2	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
31	31	152	2.0	0	0	3/2	1	1	i					i	i								m	0, -3, 1		0	0
31	31	154	1.0	1/2	1/2	3/2	1	1	viio6/VII					viio6/VII	vii	o	6		VII				o	0, -3, 3		3	0
31	31	155	3.0	3/4	3/4	3/2	1	1	VII6					VII6	VII		6						M	2, -1, -2		-2	2
32	32	158	3.0	0	0	3/2	1	1	III					III	III								M	-3, 1, -2		-3	-3
32	32	161	3.0	3/4	3/4	3/2	1	1	VI					VI	VI								M	-4, 0, -3		-4	-4
33	33	164	3.0	0	0	3/2	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
33	33	167	2.0	3/4	3/4	3/2	1	1	V6/iv					V6/iv	V		6		iv				M	4, 1, 0		0	4
33	33	169	1.0	5/4	5/4	3/2	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
34	34	170	2.0	0	0	8/4	1	1	V/iv					V/iv	V				iv				M	0, 4, 1		0	0
34	34	172	2.0	1/2	1/2	8/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
34	34	174	1.0	1	1	8/4	1	1	V/iv					V/iv	V				iv				M	0, 4, 1		0	0
34	34	175	1.0	5/4	5/4	8/4	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
34	34	176	1.0	3/2	3/2	8/4	1	1	i(4)					i(4)	i			4					m	0, -1, 1		0	0
34	34	177	1.0	7/4	7/4	8/4	1	1	i					i	i								m	0, -3, 1		0	0
35	35	178	1.0	0	0	8/4	1	1	V[III6				V	III6	III		6						M	1, -2, -3		-3	1
35	35	179	1.0	1/4	1/4	8/4	1	1	VII64					VII64	VII		64						M	-1, -2, 2		-2	-1
35	35	180	1.0	1/2	1/2	8/4	1	1	#ii6					#ii6	#ii		6						m	6, 10, 9		9	6
35	35	181	2.0	3/4	3/4	8/4	1	1	V(64)					V(64)	V			64					M	1, 0, -3		1	1
35	35	183	3.0	5/4	5/4	8/4	1	1	V]					V	V					]			M	1, 5, 2		1	1
36	36	186	3.0	0	0	8/4	1	1	I}					I	I							}	M	0, 4, 1		0	0
36	36	188	0.0	1/2	1/2	8/4	1	1	{													{					
36	36	189	1.0	3/4	3/4	8/4	1	1	#vi6					#vi6	#vi		6						m	0, 4, 3		3	0
36	36	190	1.0	1	1	8/4	1	1	vii					vii	vii								m	-2, -5, -1		-2	-2
36	36	191	0.5	5/4	5/4	8/4	1	1	i6					i6	i		6						m	-3, 1, 0		0	-3
36	36	383/2	1.0	11/8	11/8	8/4	1	1	II					II	II								M	2, 6, 3		2	2
36	36	385/2	0.5	13/8	13/8	8/4	1	1	vii					vii	vii								m	-2, -5, -1		-2	-2
36	36	193	1.0	7/4	7/4	8/4	1	1	II6					II6	II		6						M	6, 3, 2		2	6
37	37	194	1.0	0	0	4/4	1	1	III					III	III								M	-3, 1, -2		-3	-3
37	37	195	1.0	1/4	1/4	4/4	1	1	III6					III6	III		6						M	1, -2, -3		-3	1
37	37	196	1.0	1/2	1/2	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
37	37	197	1.0	3/4	3/4	4/4	1	1	V/iv					V/iv	V				iv				M	0, 4, 1		0	0
38	38	198	1.0	0	0	4/4	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
38	38	199	1.0	1/4	1/4	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
38	38	200	1.0	1/2	1/2	4/4	1	1	V6/iv					V6/iv	V		6		iv				M	4, 1, 0		0	4
38	38	201	1.0	3/4	3/4	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
39	39	202	1.0	0	0	4/4	1	1	VI					VI	VI								M	-4, 0, -3		-4	-4
39	39	203	0.5	1/4	1/4	4/4	1	1	i					i	i								m	0, -3, 1		0	0
39	39	407/2	0.5	3/8	3/8	4/4	1	1	VI6					VI6	VI		6						M	0, -3, -4		-4	0
39	39	204	0.5	1/2	1/2	4/4	1	1	II					II	II								M	2, 6, 3		2	2
39	39	409/2	0.5	5/8	5/8	4/4	1	1	i					i	i								m	0, -3, 1		0	0
39	39	205	1.0	3/4	3/4	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
40	40	206	1.0	0	0	4/4	1	1	vii6(2)					vii6(2)	vii		6	2					m	-5, -1, 0		-2	-5
40	40	207	1.0	1/4	1/4	4/4	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
40	40	208	1.0	1/2	1/2	4/4	1	1	V(64)/iv					V(64)/iv	V			64	iv				M	0, -1, -4		0	0
40	40	209	1.0	3/4	3/4	4/4	1	1	V/iv					V/iv	V				iv				M	0, 4, 1		0	0
41	41	210	3.0	0	0	4/4	1	1	iv}{					iv	iv							}{	m	-1, -4, 0		-1	-1
41	41	213	1.0	3/4	3/4	4/4	1	1	i6					i6	i		6						m	-3, 1, 0		0	-3
42	42	214	1.0	0	0	4/4	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
42	42	215	1.0	1/4	1/4	4/4	1	1	viio6/VII					viio6/VII	vii	o	6		VII				o	0, -3, 3		3	0
42	42	216	1.0	1/2	1/2	4/4	1	1	VII					VII	VII								M	-2, 2, -1		-2	-2
42	42	217	1.0	3/4	3/4	4/4	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
43	43	218	1.0	0	0	4/4	1	1	VI6					VI6	VI		6						M	0, -3, -4		-4	0
43	43	219	1.0	1/4	1/4	4/4	1	1	i					i	i								m	0, -3, 1		0	0
43	43	220	2.0	1/2	1/2	4/4	1	1	i(64)					i(64)	i			64					m	0, -1, -4		0	0
44	44	222	2.0	0	0	4/4	1	1	I					I	I								M	0, 4, 1		0	0
44	44	224	1.0	1/2	1/2	4/4	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
44	44	225	1.0	3/4	3/4	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
45	45	226	1.0	0	0	4/4	1	1	#iio6					#iio6	#ii	o	6						o	6, 3, 9		9	6
45	45	227	1.0	1/4	1/4	4/4	1	1	i					i	i								m	0, -3, 1		0	0
45	45	228	1.0	1/2	1/2	4/4	1	1	VI					VI	VI								M	-4, 0, -3		-4	-4
45	45	229	1.0	3/4	3/4	4/4	1	1	III6					III6	III		6						M	1, -2, -3		-3	1
46	46	230	1.0	0	0	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
46	46	231	1.0	1/4	1/4	4/4	1	1	V6/III					V6/III	V		6		III				M	2, -1, -2		-2	2
46	46	232	1.0	1/2	1/2	4/4	1	1	III					III	III								M	-3, 1, -2		-3	-3
46	46	233	1.0	3/4	3/4	4/4	1	1	V(64)/VI					V(64)/VI	V			64	VI				M	-3, -4, 0		-3	-3
47	47	234	0.5	0	0	4/4	1	1	V(4)/VI					V(4)/VI	V			4	VI				M	-3, -4, -2		-3	-3
47	47	469/2	1.5	1/8	1/8	4/4	1	1	V/VI					V/VI	V				VI				M	-3, 1, -2		-3	-3
47	47	236	2.0	1/2	1/2	4/4	1	1	VI}					VI	VI							}	M	-4, 0, -3		-4	-4
47	47	237	0.0	3/4	3/4	4/4	1	1	{													{					
48	48	238	2.0	0	0	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
48	48	240	0.5	1/2	1/2	4/4	1	1	iv(13)					iv(13)	iv			13					m	-1, -4, 0	2	-1	-1
48	48	481/2	1.5	5/8	5/8	4/4	1	1	iv(64)					iv(64)	iv			64					m	-1, -2, 2		-1	-1
49	49	242	1.0	0	0	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
49	49	243	1.0	1/4	1/4	4/4	1	1	V6/iv					V6/iv	V		6		iv				M	4, 1, 0		0	4
49	49	244	1.0	1/2	1/2	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
49	49	245	1.0	3/4	3/4	4/4	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
50	50	246	1.0	0	0	4/4	1	1	VI					VI	VI								M	-4, 0, -3		-4	-4
50	50	247	1.0	1/4	1/4	4/4	1	1	i					i	i								m	0, -3, 1		0	0
50	50	248	1.0	1/2	1/2	4/4	1	1	VI					VI	VI								M	-4, 0, -3		-4	-4
50	50	249	0.5	3/4	3/4	4/4	1	1	V6/iv					V6/iv	V		6		iv				M	4, 1, 0		0	4
50	50	499/2	0.5	7/8	7/8	4/4	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
51	51	250	0.5	0	0	4/4	1	1	i(64)					i(64)	i			64					m	0, -1, -4		0	0
51	51	501/2	1.0	1/8	1/8	4/4	1	1	i					i	i								m	0, -3, 1		0	0
51	51	503/2	0.5	3/8	3/8	4/4	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
51	51	252	0.5	1/2	1/2	4/4	1	1	vii(9)					vii(9)	vii			9					m	-2, -5, -1	0	-2	-2
51	51	505/2	0.5	5/8	5/8	4/4	1	1	vii					vii	vii								m	-2, -5, -1		-2	-2
51	51	253	0.5	3/4	3/4	4/4	1	1	vo6					vo6	v	o	6						o	-2, -5, 1		1	-2
51	51	507/2	0.5	7/8	7/8	4/4	1	1	III6					III6	III		6						M	1, -2, -3		-3	1
52	52	254	0.5	0	0	4/4	1	1	iv6(112)					iv6(112)	iv		6	112					m	-4, 0, 1	-2	-1	-4
52	52	509/2	1.0	1/8	1/8	4/4	1	1	iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
52	52	511/2	0.5	3/8	3/8	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
52	52	256	1.0	1/2	1/2	4/4	1	1	V(4)/iv					V(4)/iv	V			4	iv				M	0, -1, 1		0	0
52	52	257	1.0	3/4	3/4	4/4	1	1	V/iv					V/iv	V				iv				M	0, 4, 1		0	0
53	53	258	0.5	0	0	4/4	1	1	vii6(2)					vii6(2)	vii		6	2					m	-5, -1, 0		-2	-5
53	53	517/2	1.5	1/8	1/8	4/4	1	1	vii6					vii6	vii		6						m	-5, -1, -2		-2	-5
53	53	260	0.5	1/2	1/2	4/4	1	1	i(64)					i(64)	i			64					m	0, -1, -4		0	0
53	53	521/2	1.5	5/8	5/8	4/4	1	1	i					i	i								m	0, -3, 1		0	0
54	54	262	2.0	0	0	4/4	1	1	i(64)					i(64)	i			64					m	0, -1, -4		0	0
54	54	264	2.0	1/2	1/2	4/4	1	1	I					I	I								M	0, 4, 1		0	0
55	55	266	4.0	0	0	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
56	56	270	1.5	0	0	4/4	1	1	II					II	II								M	2, 6, 3		2	2
56	56	543/2	0.5	3/8	3/8	4/4	1	1	V64/VII					V64/VII	V		64		VII				M	0, -1, 3		-1	0
56	56	272	1.5	1/2	1/2	4/4	1	1	VII6					VII6	VII		6						M	2, -1, -2		-2	2
56	56	547/2	0.5	7/8	7/8	4/4	1	1	iv					iv	iv								m	-1, -4, 0		-1	-1
57	57	274	1.0	0	0	4/4	1	1	I					I	I								M	0, 4, 1		0	0
57	57	275	1.0	1/4	1/4	4/4	1	1	I(64)					I(64)	I			64					M	0, -1, -4		0	0
57	57	276	0.5	1/2	1/2	4/4	1	1	I					I	I								M	0, 4, 1		0	0
57	57	553/2	0.5	5/8	5/8	4/4	1	1	I(64)					I(64)	I			64					M	0, -1, -4		0	0
57	57	277	5.0	3/4	3/4	4/4	1	1	I}					I	I							}	M	0, 4, 1		0	0
